Symbol,Security Name
ADTN,"ADTRAN Holdings, Inc. - Common Stock"
ADTX,"Aditxt, Inc. - Common Stock"
ADUR,Aduro Clean Technologies Inc. - Common Stock
ADUS,Addus HomeCare Corporation - Common Stock
ADV,Advantage Solutions Inc.  - Class A Common Stock
ADVB,Advanced Biomed Inc. - Common Stock
ADVM,"Adverum Biotechnologies, Inc. - Common Stock"
AEBI,Aebi Schmidt Holding AG - Common Stock
AEC,Anfield Energy Inc. - Common Shares
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares
AEHR,Aehr Test Systems - Common Stock
AEI,Alset Inc. - Common Stock
AEIS,"Advanced Energy Industries, Inc. - Common Stock"
AEMD,"Aethlon Medical, Inc. - Common Stock"
AENT,Alliance Entertainment Holding Corporation - common stock
AEP,"American Electric Power Company, Inc. - Common Stock"
AERT,"Aeries Technology, Inc. - Class A Ordinary Share"
AEVA,"Aeva Technologies, Inc. - Common Stock"
AEYE,"AudioEye, Inc. - Common Stock"
AFBI,"Affinity Bancshares, Inc. - Common Stock"
AFCG,Advanced Flower Capital Inc. - Common Stock
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share"
AFJKR,"Aimei Health Technology Co., Ltd - Right"
AFJKU,"Aimei Health Technology Co., Ltd - Unit"
AFRI,Forafric Global PLC - Ordinary Shares
AFRM,"Affirm Holdings, Inc. - Class A Common Stock"
AFYA,Afya Limited - Class A Common Shares
AGAE,Allied Gaming & Entertainment Inc. - Common Stock
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share
AGEN,Agenus Inc. - Common Stock
AGH,Aureus Greenway Holdings Inc. - Common Stock
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock"
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares
AGNC,AGNC Investment Corp. - Common Stock
AGRZ,Agroz Inc. - Ordinary Shares
AGYS,"Agilysys, Inc. - Common Stock"
AHCO,AdaptHealth Corp.  - Common Stock
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares
AIFF,"Firefly Neuroscience, Inc.  - Common Stock"
AIFU,AIFU Inc. - Class A Ordinary Share
AIHS,Senmiao Technology Limited - Common Stock
AIIO,Robo.ai Inc. - Class B Ordinary Shares
AIMD,"Ainos, Inc. - Common Stock"
AIOT,"PowerFleet, Inc. - Common Stock"
AIP,"Arteris, Inc.  - Common Stock"
AIRE,reAlpha Tech Corp. - Common Stock
AIRG,"Airgain, Inc. - Common Stock"
AIRJ,AirJoule Technologies Corporation - Class A Common Stock
AIRO,"AIRO Group Holdings, Inc. - Common Stock"
AIRS,"AirSculpt Technologies, Inc. - Common Stock"
AIRT,"Air T, Inc. - Common Stock"
AISP,"Airship AI Holdings, Inc - Class A Common Stock"
AIXC,"AIxCrypto Holdings, Inc. - Common Stock"
AKAM,"Akamai Technologies, Inc. - Common Stock"
AKAN,Akanda Corp. - Common Shares
AKBA,"Akebia Therapeutics, Inc. - Common Stock"
AKRO,"Akero Therapeutics, Inc. - Common Stock"
ALAB,"Astera Labs, Inc. - Common Stock"
ALBT,Avalon GloboCare Corp. - Common Stock
ALCO,"Alico, Inc. - Common Stock"
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares
ALCYU,Alchemy Investments Acquisition Corp 1 - Units
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares
ALDFU,Aldel Financial II Inc. - Units
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock"
ALEC,"Alector, Inc. - Common Stock"
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares
ALFUU,Centurion Acquisition Corp. - Unit
ALGM,"Allegro MicroSystems, Inc. - Common Stock"
ALGN,"Align Technology, Inc. - Common Stock"
ALGS,"Aligos Therapeutics, Inc. - Common stock"
ALGT,Allegiant Travel Company - Common Stock
ALHC,"Alignment Healthcare, Inc. - Common Stock"
ALIS,Calisa Acquisition Corp - Ordinary shares
ALISR,Calisa Acquisition Corp - Right
ALISU,Calisa Acquisition Corp - Units
ALKS,Alkermes plc - Ordinary Shares
ALKT,"Alkami Technology, Inc. - Common Stock"
ALLO,"Allogene Therapeutics, Inc. - Common Stock"
ALLR,"Allarity Therapeutics, Inc. - Common stock"
ALLT,Allot Ltd. - Ordinary Shares
ALM,Almonty Industries Inc. - Common Shares
ALMS,Alumis Inc. - Common Stock
ALMU,"Aeluma, Inc. - Common Stock"
ALNT,Allient Inc. - Common Stock
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock"
ALOT,"AstroNova, Inc. - Common Stock"
ALPS,ALPS Group Inc - Ordinary Share
ALRM,"Alarm.com Holdings, Inc. - Common Stock"
ALRS,Alerus Financial Corporation - Common Stock
ALT,"Altimmune, Inc. - Common Stock"
ALTI,"AlTi Global, Inc. - Class A Common Stock"
ALTO,"Alto Ingredients, Inc. - Common Stock"
ALTS,ALT5 Sigma Corporation - Common Stock
ALVO,Alvotech - Ordinary Shares
ALXO,ALX Oncology Holdings Inc. - Common Stock
ALZN,"Alzamend Neuro, Inc. - Common Stock"
AMAL,Amalgamated Financial Corp. - Common Stock
AMAT,"Applied Materials, Inc. - Common Stock"
AMBA,"Ambarella, Inc. - Ordinary Shares"
AMCX,AMC Networks Inc. - Class A Common Stock
AMD,"Advanced Micro Devices, Inc. - Common Stock"
AMDD,Direxion Daily AMD Bear 1X Shares
AMGN,Amgen Inc. - Common Stock
AMIX,"Autonomix Medical, Inc. - Common Stock"
AMKR,"Amkor Technology, Inc. - Common Stock"
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock"
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock"
AMPG,"Amplitech Group, Inc. - Common Stock"
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock"
AMPL,"Amplitude, Inc. - Class A Common Stock"
AMRK,"A-Mark Precious Metals, Inc. - Common Stock"
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock"
AMSC,American Superconductor Corporation - Common Stock
AMSF,"AMERISAFE, Inc. - Common Stock"
AMST,Amesite Inc. - Common Stock
AMTX,"Aemetis, Inc - Common Stock"
AMUU,Direxion Daily AMD Bull 2X Shares
AMWD,American Woodmark Corporation - Common Stock
AMZD,Direxion Daily AMZN Bear 1X Shares
AMZN,"Amazon.com, Inc. - Common Stock"
AMZU,Direxion Daily AMZN Bull 2X Shares
ANAB,"AnaptysBio, Inc. - Common Stock"
ANDE,"The Andersons, Inc. - Common Stock"
ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock"
ANGH,Anghami Inc. - Ordinary Shares
ANGI,Angi Inc. - Class A Common Stock
ANGO,"AngioDynamics, Inc. - Common Stock"
ANIK,Anika Therapeutics Inc. - Common Stock
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock"
ANIX,"Anixa Biosciences, Inc. - Common Stock"
ANNA,"AleAnna, Inc. - Class A Common Stock"
ANNX,"Annexon, Inc. - common stock"
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares
ANTX,"AN2 Therapeutics, Inc. - Common Stock"
ANY,Sphere 3D Corp. - Common Shares
AOSL,Alpha and Omega Semiconductor Limited - Common Shares
AOUT,"American Outdoor Brands, Inc. - Common Stock"
APA,APA Corporation - Common Stock
APACU,StoneBridge Acquisition II Corporation - Units
APAD,A Paradise Acquisition Corp. - Class A Ordinary Shares
APADR,A Paradise Acquisition Corp. - Rights
APADU,A Paradise Acquisition Corp. - Unit
APEI,"American Public Education, Inc. - Common Stock"
APGE,"Apogee Therapeutics, Inc. - Common Stock"
API,"Agora, Inc. - ADS"
APLD,Applied Digital Corporation - Common Stock
APLM,Apollomics Inc. - Class A Ordinary Shares
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock"
APLT,"Applied Therapeutics, Inc. - Common Stock"
APM,Aptorum Group Limited - Class A Ordinary Shares
APOG,"Apogee Enterprises, Inc. - Common Stock"
APP,Applovin Corporation - Class A Common Stock
APPF,"AppFolio, Inc. - Class A Common Stock"
APPN,Appian Corporation - Class A Common Stock
APPS,"Digital Turbine, Inc. - Common Stock"
APRE,"Aprea Therapeutics, Inc. - Common Stock"
APVO,Aptevo Therapeutics Inc. - Common Stock
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share"
APXT,Apex Treasury Corporation - Class A Ordinary Share
APXTU,Apex Treasury Corporation - Units
APYX,Apyx Medical Corporation - Common Stock
AQB,"AquaBounty Technologies, Inc. - Common Stock"
AQMS,"Aqua Metals, Inc. - Common Stock"
AQST,"Aquestive Therapeutics, Inc. - Common Stock"
ARAI,Arrive AI Inc. - Common Stock
ARAY,Accuray Incorporated - Common Stock
ARBB,ARB IOT Group Limited - Ordinary Shares
ARBE,Arbe Robotics Ltd. - Ordinary Shares
ARCB,ArcBest Corporation - Common Stock
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock
ARDX,"Ardelyx, Inc. - Common Stock"
AREB,"American Rebel Holdings, Inc. - Common Stock"
AREC,American Resources Corporation - Class A Common Stock
ARHS,"Arhaus, Inc. - Class A Common Stock"
ARKO,ARKO Corp. - Common Stock
ARKR,Ark Restaurants Corp. - Common Stock
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests"
AROW,Arrow Financial Corporation - Common Stock
ARQ,"Arq, Inc. - Common Stock"
ARQQ,Arqit Quantum Inc. - Ordinary Shares
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock"
ARRY,"Array Technologies, Inc. - Common Stock"
ARTL,"Artelo Biosciences, Inc. - Common Stock"
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock"
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock"
ARVN,"Arvinas, Inc. - Common Stock"
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock"
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock"
ASLE,AerSale Corporation - Common Stock
ASMB,"Assembly Biosciences, Inc. - Common Stock"
ASML,ASML Holding N.V. - New York Registry Shares
ASNS,"Actelis Networks, Inc. - Common Stock"
ASO,"Academy Sports and Outdoors, Inc. - Common Stock"
ASPC,A SPAC III Acquisition Corp. - Class A Ordinary Shares
ASPCR,A SPAC III Acquisition Corp. - Right
ASPCU,A SPAC III Acquisition Corp. - Unit
ASPI,ASP Isotopes Inc. - Common Stock
ASPS,Altisource Portfolio Solutions S.A. - Common Stock
ASRT,"Assertio Holdings, Inc. - Common Stock"
ASRV,AmeriServ Financial Inc. - Common Stock
ASST,"Strive, Inc. - Class A Common Stock"
ASTC,Astrotech Corporation - Common Stock
ASTE,"Astec Industries, Inc. - Common Stock"
ASTH,Astrana Health Inc. - Common Stock
ASTI,"Ascent Solar Technologies, Inc - Common Stock"
ASTL,Algoma Steel Group Inc. - Common Shares
ASTS,"AST SpaceMobile, Inc. - Class A Common Stock"
ASUR,Asure Software Inc - Common Stock
ASYS,"Amtech Systems, Inc. - Common Stock"
ATAI,Atai Beckley N.V - Common Shares
ATEC,"Alphatec Holdings, Inc. - Common Stock"
ATER,"Aterian, Inc. - Common Stock"
ATEX,Anterix Inc. - Common Stock
ATGL,Alpha Technology Group Limited - Class A Ordinary Shares
ATHA,"Athira Pharma, Inc. - Common Stock"
ATHR,"Aether Holdings, Inc. - Common Stock"
ATII,Archimedes Tech SPAC Partners II Co. - Ordinary Shares
ATIIU,Archimedes Tech SPAC Partners II Co. - Unit
ATLC,Atlanticus Holdings Corporation - Common Stock
ATLN,Atlantic International Corp. - Common Stock
ATLO,Ames National Corporation - Common Stock
ATLX,Atlas Lithium Corporation - Common Stock
ATMC,AlphaTime Acquisition Corp - Ordinary Shares
ATMCR,AlphaTime Acquisition Corp - Right
ATMCU,AlphaTime Acquisition Corp - Unit
ATMV,AlphaVest Acquisition Corp - Ordinary Shares
ATMVR,AlphaVest Acquisition Corp - Right
ATMVU,AlphaVest Acquisition Corp - Unit
ATNI,"ATN International, Inc. - Common Stock"
ATOM,Atomera Incorporated - Common Stock
ATON,AlphaTON Capital Corp. - Common Stock
ATOS,"Atossa Therapeutics, Inc. - Common Stock"
ATPC,Agape ATP Corporation - Common Stock
ATRA,"Atara Biotherapeutics, Inc. - Common Stock"
ATRC,"AtriCure, Inc. - Common Stock"
ATRO,Astronics Corporation - Common Stock
ATXG,Addentax Group Corp. - Common Stock
ATXS,"Astria Therapeutics, Inc. - Common Stock"
ATYR,"aTyr Pharma, Inc. - Common Stock"
AUBN,"Auburn National Bancorporation, Inc. - Common Stock"
AUDC,AudioCodes Ltd. - Ordinary Shares
AUGO,Aura Minerals Inc. - Common Shares
AUID,authID Inc. - Common Stock
AUPH,Aurinia Pharmaceuticals Inc - Common Shares
AUR,"Aurora Innovation, Inc.  - Class A Common Stock"
AURA,"Aura Biosciences, Inc. - Common Stock"
AURE,Prestige Wealth Inc. - Class A Ordinary Shares
AUUD,Auddia Inc. - Common Stock
AVAH,Aveanna Healthcare Holdings Inc. - Common Stock
AVAV,"AeroVironment, Inc. - Common Stock"
AVBH,"Avidbank Holdings, Inc. - Common Stock"
AVBP,"ArriVent BioPharma, Inc. - Common Stock"
AVDL,Avadel Pharmaceuticals plc - Ordinary Share
AVGO,Broadcom Inc. - Common Stock
AVIR,"Atea Pharmaceuticals, Inc. - common stock"
AVL,Direxion Daily AVGO Bull 2X Shares
AVNW,"Aviat Networks, Inc. - Common Stock"
AVO,"Mission Produce, Inc. - Common Stock"
AVPT,"AvePoint, Inc. - Class A Common Stock"
AVR,Anteris Technologies Global Corp. - Common Stock
AVS,Direxion Daily AVGO Bear 1X Shares
AVT,"Avnet, Inc. - Common Stock"
AVTX,"Avalo Therapeutics, Inc. - Common Stock"
AVX,Avax One Technology Ltd. - Common Shares
AVXL,Anavex Life Sciences Corp. - Common Stock
AWRE,"Aware, Inc. - Common Stock"
AXG,Solowin Holdings - Class A Ordinary Share
AXGN,"Axogen, Inc. - Common Stock"
AXIN,Axiom Intelligence Acquisition Corp 1 - Class A Ordinary Shares
AXINR,Axiom Intelligence Acquisition Corp 1 - Right
AXINU,Axiom Intelligence Acquisition Corp 1 - Units
AXON,"Axon Enterprise, Inc. - Common Stock"
AXSM,"Axsome Therapeutics, Inc. - Common Stock"
AXTI,AXT Inc - Common Stock
AYTU,"Aytu BioPharma, Inc.  - Common Stock"
AZ,A2Z Cust2Mate Solutions Corp. - Common Shares
AZI,Autozi Internet Technology (Global) Ltd. - Class A Ordinary Shares
AZTA,"Azenta, Inc. - Common Stock"
BACC,Blue Acquisition Corp. - Class A Ordinary Shares
BACCR,Blue Acquisition Corp. - Right
BACCU,Blue Acquisition Corp. - Unit
BACQ,Inflection Point Acquisition Corp. IV - Class A Ordinary Shares
BACQR,Inflection Point Acquisition Corp. IV - Right
BACQU,Inflection Point Acquisition Corp. IV - Unit
BAER,"Bridger Aerospace Group Holdings, Inc. - Common Stock"
BAFN,BayFirst Financial Corp. - Common Stock
BAND,Bandwidth Inc. - Class A Common Stock
BANF,BancFirst Corporation - Common Stock
BANL,CBL International Limited - Ordinary Shares
BANR,Banner Corporation - Common Stock
BAOS,Baosheng Media Group Holdings Limited - Ordinary shares
BATRA,"Atlanta Braves Holdings, Inc. - Series A Common Stock"
BATRK,"Atlanta Braves Holdings, Inc. - Series C Common Stock"
BAYA,Bayview Acquisition Corp - Ordinary Share
BAYAR,Bayview Acquisition Corp - Right
BAYAU,Bayview Acquisition Corp - Unit
BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock"
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock"
BBIO,"BridgeBio Pharma, Inc. - Common Stock"
BBLG,Bone Biologics Corp - Common Stock
BBNX,"Beta Bionics, Inc. - Common Stock"
BBOT,"BridgeBio Oncology Therapeutics, Inc. - Common Stock"
BBSI,"Barrett Business Services, Inc. - Common Stock"
BCAB,"BioAtla, Inc. - Common Stock"
BCAL,California BanCorp - Common Stock
BCAR,D. Boral ARC Acquisition I Corp. - Class A Ordinary Shares
BCARU,D. Boral ARC Acquisition I Corp. - Units
BCAX,Bicara Therapeutics Inc. - Common Stock
BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock"
BCDA,"BioCardia, Inc. - Common Stock"
BCG,"Binah Capital Group, Inc. - Common Stock"
BCML,BayCom Corp - Common Stock
BCPC,Balchem Corporation - Common Stock
BCRX,"BioCryst Pharmaceuticals, Inc. - Common Stock"
BCTX,BriaCell Therapeutics Corp. - Common Shares
BDCI,BTC Development Corp. - Class A Ordinary Shares
BDCIU,BTC Development Corp. - Unit
BDMD,Baird Medical Investment Holdings Ltd - Ordinary Share
BDSX,"Biodesix, Inc. - Common Stock"
BDTX,"Black Diamond Therapeutics, Inc. - Common Stock"
BEAG,Bold Eagle Acquisition Corp. - Class A Ordinary Shares
BEAGR,Bold Eagle Acquisition Corp. - Right
BEAGU,Bold Eagle Acquisition Corp. - Units
BEAM,Beam Therapeutics Inc. - Common Stock
BEAT,"Heartbeam, Inc. - Common Stock"
BEEM,Beam Global - Common Stock
BEEP,Mobile Infrastructure Corporation - Common Stock
BELFA,Bel Fuse Inc. - Class A Common Stock
BELFB,Bel Fuse Inc. - Class B Common Stock
BENF,Beneficient - Class A Common Stock
BETR,Better Home & Finance Holding Company - Class A Common Stock
BFC,Bank First Corporation - Common Stock
BFIN,BankFinancial Corporation - Common Stock
BFRG,"Bullfrog AI Holdings, Inc. - Common Stock"
BFRI,Biofrontera Inc. - Common Stock
BFST,"Business First Bancshares, Inc. - Common Stock"
BGC,"BGC Group, Inc. - Class A Common Stock"
BGIN,Bgin Blockchain Limited - Class A Ordinary Shares
BGL,Blue Gold Limited - Class A ordinary shares
BGLC,BioNexus Gene Lab Corp - Common stock
BGM,BGM Group Ltd. - Class A Ordinary Shares
BGMS,"Bio Green Med Solution, Inc. - Common Stock"
BHAT,Blue Hat Interactive Entertainment Technology - Ordinary Shares
BHF,"Brighthouse Financial, Inc. - Common Stock"
BHFAL,"Brighthouse Financial, Inc. - Junior Subordinated Debentures due 2058"
BHRB,Burke & Herbert Financial Services Corp. - Common Stock
BHST,BioHarvest Sciences Inc. - Common Stock
BIAF,"bioAffinity Technologies, Inc. - Common Stock"
BIB,ProShares Ultra Nasdaq Biotechnology
BIIB,Biogen Inc. - Common Stock
BIOA,"BioAge Labs, Inc. - Common Stock"
BIOX,Bioceres Crop Solutions Corp. - Ordinary Shares
BIRD,"Allbirds, Inc. - Class A Common Stock"
BIS,ProShares UltraShort Nasdaq Biotechnology
BITF,Bitfarms Ltd. - Common Stock
BIVI,BioVie Inc. - Common stock
BIYA,Baiya International Group Inc.  - Ordinary Shares
BJDX,"Bluejay Diagnostics, Inc. - Common Stock"
BJRI,"BJ's Restaurants, Inc. - Common Stock"
BKHA,Black Hawk Acquisition Corporation - Class A Ordinary Shares
BKHAR,Black Hawk Acquisition Corporation - Rights
BKHAU,Black Hawk Acquisition Corporation - Units
BKNG,Booking Holdings Inc. - Common Stock
BKR,Baker Hughes Company - Common Stock
BKYI,"BIO-key International, Inc. - Common Stock"
BL,"BlackLine, Inc. - Common Stock"
BLBD,Blue Bird Corporation - Common Stock
BLBX,Blackboxstocks Inc. - Common Stock
BLDP,"Ballard Power Systems, Inc. - Common Shares"
BLFS,"BioLife Solutions, Inc. - Common Stock"
BLFY,Blue Foundry Bancorp - Common Stock
BLIN,"Bridgeline Digital, Inc. - Common Stock"
BLIV,BeLive Holdings - ordinary shares
BLKB,"Blackbaud, Inc. - Common Stock"
BLLN,"BillionToOne, Inc. - Class A common stock"
BLMN,"Bloomin' Brands, Inc. - Common Stock"
BLMZ,Harrison Global Holdings Inc. - Ordinary Shares
BLNE,"Beeline Holdings, Inc. - Common Stock"
BLNK,Blink Charging Co. - Common Stock
BLUW,Blue Water Acquisition Corp. III - Class A Ordinary Shares
BLUWU,Blue Water Acquisition Corp. III - Unit.
BLZE,"Backblaze, Inc. - Common Stock"
BLZR,Trailblazer Acquisition Corp. - Class A Ordinary Shares
BLZRU,Trailblazer Acquisition Corp. - Unit
BMBL,Bumble Inc. - common stock
BMEA,"Biomea Fusion, Inc. - Common Stock"
BMGL,Basel Medical Group Ltd - ordinary shares
BMHL,Bluemount Holdings Limited - Class B Ordinary Shares
BMR,Beamr Imaging Ltd. - Ordinary Share
BMRA,"Biomerica, Inc. - Common Stock"
BMRC,Bank of Marin Bancorp - Common Stock
BMRN,BioMarin Pharmaceutical Inc. - Common Stock
BNAI,Brand Engagement Network Inc. - Common Stock
BNBX,BNB Plus Corp. - Common Stock
BNC,CEA Industries Inc. - Common Stock
BNGO,"Bionano Genomics, Inc. - Common Stock"
BNKK,"Bonk, Inc. - Common Stock"
BNRG,Brenmiller Energy Ltd - Ordinary Shares
BNTC,Benitec Biopharma Inc. - Common Stock
BNZI,"Banzai International, Inc. - Class A Common Stock"
BODI,"The Beachbody Company, Inc. - Class A Common Stock"
BOED,Direxion Daily BA Bear 1X Shares
BOEU,Direxion Daily BA Bull 2X Shares
BOF,BranchOut Food Inc. - Common Stock
BOKF,BOK Financial Corporation - Common Stock
BOLD,"Boundless Bio, Inc. - Common Stock"
BOLT,"Bolt Biotherapeutics, Inc. - Common Stock"
BON,Bon Natural Life Limited - Class A Ordinary Shares
BOOM,DMC Global Inc. - Common Stock
BOSC,B.O.S. Better Online Solutions - Ordinary Shares
BOTJ,"Bank of the James Financial Group, Inc. - Common Stock"
BOXL,Boxlight Corporation - Class A Common Stock
BPACU,Blueport Acquisition Ltd - Units
BPOP,"Popular, Inc. - Common Stock"
BPRN,"Princeton Bancorp, Inc. - Common Stock"
BRAG,Bragg Gaming Group Inc. - Common Shares
BRBI,BRBI BR Partners S.A. - ADSs
BRCB,"Black Rock Coffee Bar, Inc. - Class A Common Stock"
BRFH,Barfresh Food Group Inc. - Common Stock
BRID,Bridgford Foods Corporation - Common Stock
BRKD,Direxion Daily BRKB Bear 1X Shares
BRKR,Bruker Corporation - Common Stock
BRKU,Direxion Daily BRKB Bull 2X Shares
BRLS,Borealis Foods Inc. - Class A Common Shares
BRLT,"Brilliant Earth Group, Inc. - Class A Common Stock"
BRR,Columbus Circle Capital Corp I - Class A Ordinary Shares
BRRWU,Columbus Circle Capital Corp I - Units
BRTX,"BioRestorative Therapies, Inc. - Common Stock"
BRY,Berry Corporation (bry) - Common Stock
BRZE,"Braze, Inc. - Class A Common Stock"
BSAA,BEST SPAC I Acquisition Corp. - Class A Ordinary Shares
BSAAR,BEST SPAC I Acquisition Corp. - Rights
BSAAU,BEST SPAC I Acquisition Corp. - Unit
BSBK,Bogota Financial Corp. - Common Stock
BSET,"Bassett Furniture Industries, Incorporated - Common Stock"
BSLK,"Bolt Projects Holdings, Inc. - Common Stock"
BSRR,Sierra Bancorp - Common Stock
BSVN,Bank7 Corp. - Common stock
BSY,"Bentley Systems, Incorporated - Class B Common Stock"
BTAI,"BioXcel Therapeutics, Inc. - Common Stock"
BTBD,"BT Brands, Inc. - Common Stock"
BTBT,"Bit Digital, Inc. - Ordinary Share"
BTCS,BTCS Inc. - Common Stock
BTCT,BTC Digital Ltd. - Ordinary Shares
BTDR,Bitdeer Technologies Group - Ordinary Shares
BTM,Bitcoin Depot Inc. - Class A Common Stock
BTMD,Biote Corp. - Class A common stock
BTOC,Armlogi Holding Corp. - common stock
BTOG,Bit Origin Limited - Class A Ordinary Shares
BTQ,BTQ Technologies Corp. - Common Stock
BTSG,"BrightSpring Health Services, Inc. - Common Stock"
BTSGU,"BrightSpring Health Services, Inc. - Tangible Equity Unit"
BTTC,Black Titan Corp - Ordinary Shares
BULL,Webull Corporation - Class A Ordinary Shares
BUSE,First Busey Corporation - Common Stock
BUUU,BUUU Group Limited - Class A Ordinary Share
BVFL,"BV Financial, Inc. - Common Stock"
BVS,Bioventus Inc. - Class A Common Stock
BWB,"Bridgewater Bancshares, Inc. - Common Stock"
BWEN,"Broadwind, Inc. - Common Stock"
BWFG,"Bankwell Financial Group, Inc. - Common Stock"
BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock"
BWMN,Bowman Consulting Group Ltd. - Common Stock
BYAH,"Park Ha Biological Technology Co., Ltd. - ordinary shares"
BYFC,Broadway Financial Corporation - Class A Common Stock
BYND,"Beyond Meat, Inc. - Common stock"
BYRN,"Byrna Technologies, Inc. - Common Stock"
BYSI,"BeyondSpring, Inc. - Ordinary Shares"
